openalex_id,query,web_title,web_snippet,web_url,official_domain_signal,professor_title_signal,trainee_title_signal,web_checked
A5056221486,"""Yeo‐Kyeoung Kim"" ""Veterans Health Service Medical Center"" professor 교수",Impact of Community-Onset Methicillin-Resistant ...,"Affiliations. 1 Department of Laboratory Medicine, Veterans Health Service Medical Center, Seoul, Korea. 2 Department of Internal Medicine, Veterans Health ...",https://pubmed.ncbi.nlm.nih.gov/30430778/,no,no,no,yes
A5004166441,"""Seok Jin Kim"" ""Samsung (South Korea)"" professor 교수",,,,no,no,no,yes
A5054573839,"""Yeung‐Chul Mun"" ""Ewha Womans University"" professor 교수","(PDF) Past, Present, and Future of Ewha Medical Care","... Ewha Womans University School of Medicine, Seoul, Korea. 서 론. Ewha Medical Care (EMC)의 소개와 경과보고 등으로 관련내. 용을 보고한 적은 많으나 이렇게 글로써 ...",https://www.researchgate.net/publication/313682193_Past_Present_and_Future_of_Ewha_Medical_Care,no,no,no,yes
A5023527480,"""Yong Park"" ""Ewha Womans University"" professor 교수",",17(51$7,21$/ )2580 21 (175(35(1(856+,3","... Ewha Womans University. 연사 Speaker. 반성식. 한국글로벌 기업가정신 ... Yong Park. Senior Vice President, Korean Academic Society of.",https://www.jinju.go.kr/jinjuforum/files/brochure-2025.pdf,no,no,no,yes
A5071885891,"""Won Seog Kim"" ""Samsung Medical Center"" professor 교수",Yhim Ho-Young - Google 학술 검색,"공동 저자. Won Seog kimSamsung Medical Centerskku.edu의 이메일 확인됨. Seok Jin KimSamsung Medical Center, Sungkyunkwan University ...",https://scholar.google.com/citations?user=GJH-aVIAAAAJ&hl=ko,no,no,no,yes
A5008938100,"""Hoon Kook"" ""Chonnam National University Hospital"" professor 교수",,,,no,no,no,yes
A5100355268,"""Hyunju Lee"" ""Konyang University"" professor 교수",2025 대한의료정보학회 춘계학술대회 초록집 | PDF,"Sehyun Lee1, Hyunju Lee M.D., PhD2, Hyunho Kim M.D., Ph.D 3 1. Jeonbuk ... of Otorhinolaryngology-Head and Neck Surgery, College of Medicine, Konyang University ...",https://www.scribd.com/document/931949626/2025-%EB%8C%80%ED%95%9C%EC%9D%98%EB%A3%8C%EC%A0%95%EB%B3%B4%ED%95%99%ED%9A%8C-%EC%B6%98%EA%B3%84%ED%95%99%EC%88%A0%EB%8C%80%ED%9A%8C-%EC%B4%88%EB%A1%9D%EC%A7%91,no,no,no,yes
A5101634067,"""Dae Sik Kim"" ""Korea University Medical Center"" professor 교수",,,,no,no,no,yes
A5085504469,"""Eun‐Suk Kang"" ""Samsung Medical Center"" professor 교수",Akhil Reed Amar - Yale Law School,"Akhil Reed Amar is Sterling Professor of Law and Political Science at Yale University, where he teaches constitutional law in both Yale College and Yale Law ...",https://law.yale.edu/akhil-reed-amar,yes,yes,no,yes
A5100353399,"""Kihyun Kım"" ""Seoul National University"" professor 교수",Kihyun Kim - PhD Student at MIT EECS,"View Kihyun Kim's profile on LinkedIn, a professional community of 1 billion members ... 서울대학교 (Seoul National University). Bachelor's degree Electrical and ...",https://www.linkedin.com/in/kihyun-kim-88010a200,no,no,yes,yes
A5041004365,"""Jun Ho Jang"" ""National Institutes of Health"" professor 교수",,,,no,no,no,yes
A5043864590,"""Kwai Han Yoo"" ""Gachon University"" professor 교수",KWAI HAN YOO 님 - Hematologist,Hematologist · 경력: Seoul National University Bundang Hospital (SNUBH) · 지역: 대한민국 · LinkedIn에서 KWAI HAN YOO ... Gachon University Gil Medical Center.,https://kr.linkedin.com/in/kwai-han-yoo-044a302b1,no,no,no,yes
A5004924024,"""Mijeong Lee"" ""Samsung (South Korea)"" professor 교수",,,,no,no,no,yes
A5102784882,"""Ho‐Jin Shin"" ""Pusan National University Hospital"" professor 교수",High one-hour plasma glucose is an intermediate risk state ...,"Affiliations. 1 Division of Endocrinology and Metabolism, Department of Internal Medicine, Pusan National University Hospital, Busan, Republic of Korea; ...",https://pubmed.ncbi.nlm.nih.gov/39617334/,no,no,no,yes
A5100780621,"""Jin Seok Kim"" ""Yonsei University"" professor 교수",Jin Seok Kim,"JIN SEOK KIM. Yonsei University College of Medicine: Seodaemun-gu, Seoul, KR. 1999-03-01 to 2001-02-28 | MS. Education. Show more detail. Source: Self-asserted ...",https://orcid.org/0000-0001-8986-8436,no,no,no,yes
A5100719069,"""Tae Min Kim"" ""Seoul National University"" professor 교수",,,,no,no,no,yes
A5033086793,"""Sang Kook Lee"" ""Ulsan College"" professor 교수",,,,no,no,no,yes
A5101626383,"""Yon Su Kim"" ""Seoul National University"" professor 교수",,,,no,no,no,yes
A5070098382,"""Yoon Kyung Jeon"" ""Seoul National University"" professor 교수",,,,no,no,no,yes
A5100443628,"""Kwangsoo Kim"" ""Seoul National University of Science and Technology"" professor 교수",,,,no,no,no,yes
A5008852874,"""Hang‐Rae Kim"" ""Samsung Medical Center"" professor 교수",,,,no,no,no,yes
A5005534381,"""Nam‐Hyuk Cho"" ""Seoul National University"" professor 교수",,,,no,no,no,yes
A5089590792,"""Dohyun Han"" ""Seoul National University"" professor 교수",,,,no,no,no,yes
A5045269587,"""Minh‐Trang Thi Phan"" ""Chonnam National University"" professor 교수",,,,no,no,no,yes
A5086899824,"""Sung Ho Ryu"" ""Pohang University of Science and Technology"" professor 교수",,,,no,no,no,yes
A5100420784,"""Taehyung P. Kim"" ""Sungkyunkwan University"" professor 교수",,,,no,no,no,yes
A5036364665,"""Keon Wook Kang"" ""Seoul National University"" professor 교수",,,,no,no,no,yes
A5008074124,"""Kyong Soo Park"" ""Seoul National University"" professor 교수",,,,no,no,no,yes
A5100773895,"""So Yeon Park"" ""Seoul National University"" professor 교수",,,,no,no,no,yes
A5100335103,"""Young Ho Kim"" ""Chungnam National University"" professor 교수",,,,no,no,no,yes
A5043780534,"""Eun‐Jung Cho"" ""Hallym University"" professor 교수",,,,no,no,no,yes
A5100363762,"""Ho Kim"" ""Ulsan College"" professor 교수",,,,no,no,no,yes
A5003089475,"""Yoon‐La Choi"" ""Samsung Medical Center"" professor 교수",,,,no,no,no,yes
A5024891671,"""Dae Seog Heo"" ""Seoul National University"" professor 교수",,,,no,no,no,yes
A5100638261,"""Dong‐Wan Kim"" ""Seoul National University"" professor 교수",,,,no,no,no,yes
