openalex_id,approved,name_ko,name_en,university,department,primary_field,source_url,auto_decision,auto_confidence,auto_reason,triage_tier,shared_paper_count,connected_seed_professor_ids,web_title,current_affiliation
A5100398117,,,Jinwoo Lee,Korea Advanced Institute of Science and Technology; National NanoFab Center,,,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first,4,P0001; P0002,,Korea Advanced Institute of Science and Technology; National NanoFab Center
A5000137293,,,Seongyeon Cho,Seoul National University,,,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first,2,P0001; P0002,,Seoul National University
A5087989423,,,Jae?륣yung Jeon,Pohang University of Science and Technology; Korea Post; Asia Pacific Center for Theoretical Physics,,,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first,2,P0001; P0003,,Pohang University of Science and Technology; Korea Post; Asia Pacific Center for Theoretical Physics
A5028790314,,,Dong Keun Han,Samjin Pharm (South Korea); Bukwang Pharmaceutical (South Korea); CHA University; Jeil Pharmaceutical (South Korea),,,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first,2,P0001; P0002,,Samjin Pharm (South Korea); Bukwang Pharmaceutical (South Korea); CHA University; Jeil Pharmaceutical (South Korea)
A5108631421,,,Young-Jun Park,Seoul National University,,,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first,2,P0001; P0003,,Seoul National University
A5003546968,,,Sang?륥un Ha,Yonsei University,,,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first,2,P0001; P0003,,Yonsei University
A5000177690,,,Mi?륥u Kim,Kyung Hee University,,,,,0.5,manual review needed,A_review_first,17,P0001,,Kyung Hee University
A5069610959,,,Insu Jeon,Chonnam National University,,,,,0.5,manual review needed,A_review_first,15,P0003,,Chonnam National University
A5080552007,,,Il?륦yu Kim,Gachon University; Immune Regulation (United Kingdom),,,,,0.5,manual review needed,A_review_first,13,P0003,,Gachon University; Immune Regulation (United Kingdom)
A5020867342,,,Boyeong Song,New Generation University College; Cellid (South Korea),,,,,0.5,manual review needed,A_review_first,12,P0003,,New Generation University College; Cellid (South Korea)
A5102910953,,,Kwangsoo Shin,Inha University; Yale University; Cellid (South Korea); Shanghai Cell Therapy Research Institute,,,,,0.5,manual review needed,A_review_first,11,P0003,,Inha University; Yale University; Cellid (South Korea); Shanghai Cell Therapy Research Institute
A5020449635,,,Hyoungjun Park,Korea University,,,,,0.5,manual review needed,A_review_first,10,P0001,,Korea University
A5109987655,,,Keon Woo Kwon,Korea Research Institute of Bioscience and Biotechnology,,,,,0.5,manual review needed,A_review_first,10,P0001,,Korea Research Institute of Bioscience and Biotechnology
A5056525061,,,Byung Soh Min,Yonsei University; Severance Hospital,,,,,0.5,manual review needed,B_review,9,P0003,,Yonsei University; Severance Hospital
A5046647594,,,Yoon Dae Han,Yonsei University; Severance Hospital; Gangnam Severance Hospital,,,,,0.5,manual review needed,B_review,9,P0003,,Yonsei University; Severance Hospital; Gangnam Severance Hospital
A5051983148,,,Sang Joon Shin,Yonsei University; National Cancer Center; Sungkyunkwan University,,,,,0.5,manual review needed,B_review,9,P0003,,Yonsei University; National Cancer Center; Sungkyunkwan University
A5040314718,,,Yeonseok Chung,Seoul National University; Institute for Basic Science; Immune Regulation (United Kingdom),,,,,0.5,manual review needed,B_review,9,P0003,,Seoul National University; Institute for Basic Science; Immune Regulation (United Kingdom)
A5079772051,,,Chung Ryul Jung,Incheon National University; Korea Forest Service; Institute of Forest Science,,,,,0.5,manual review needed,B_review,8,P0001,,Incheon National University; Korea Forest Service; Institute of Forest Science
A5100682311,,,Donghyuk Kim,Korea University; Ulsan National Institute of Science and Technology,,,,,0.5,manual review needed,B_review,8,P0002,,Korea University; Ulsan National Institute of Science and Technology
A5047859685,,,Sanguk Kim,Pohang University of Science and Technology,,,,,0.5,manual review needed,B_review,7,P0002,,Pohang University of Science and Technology
A5102352578,,,Tae-Seung Kang,Seoul National University; Seoul National University of Science and Technology,,,,,0.5,manual review needed,B_review,7,P0003,,Seoul National University; Seoul National University of Science and Technology
A5052784878,,,Myoung Ho Jang,SK Group (South Korea); GI Innovation (South Korea); Osaka International University,,,,,0.5,manual review needed,B_review,6,P0001,,SK Group (South Korea); GI Innovation (South Korea); Osaka International University
A5100682313,,,Donghyuk Kim,Ulsan National Institute of Science and Technology,,,,,0.5,manual review needed,B_review,6,P0002,,Ulsan National Institute of Science and Technology
A5000328867,,,Myung Hyun Noh,University of San Diego; University of California San Diego; La Jolla Bioengineering Institute; Korea Research Institute of Chemical Technology; Korea Research Institute of Bioscience and Biotechnology,,,,,0.5,manual review needed,B_review,6,P0002,,University of San Diego; University of California San Diego; La Jolla Bioengineering Institute; Korea Research Institute of Chemical Technology; Korea Research Institute of Bioscience and Biotechnology
A5017124041,,,Dowon Moon,Seoul National University; National University,,,,,0.5,manual review needed,B_review,5,P0001,,Seoul National University; National University
A5103187813,,,Hye?륪i Kim,Korea Institute of Nuclear Safety; Kyungpook National University; Korea Basic Science Institute; Bio-Medical Science (South Korea),,,,,0.5,manual review needed,B_review,5,P0001,,Korea Institute of Nuclear Safety; Kyungpook National University; Korea Basic Science Institute; Bio-Medical Science (South Korea)
A5019115055,yes,김태돈,Tae don Kim,Yonsei University,,,,,0.5,manual review needed,B_review,5,P0001,,Biocon (Switzerland); Yonsei University; Korea Research Institute of Bioscience and Biotechnology; Korea University of Science and Technology
A5111681185,,,Kahp?륻ang Suh,Pohang University of Science and Technology; Seoul National University,,,,,0.5,manual review needed,B_review,5,P0001,,Pohang University of Science and Technology; Seoul National University
A5037009590,,,Kyung?륪i Lee,Korea University; Intercollege,,,,,0.5,manual review needed,B_review,5,P0001,,Korea University; Intercollege
A5071699799,,,Gibyuck Byun,Seoul National University; National University,,,,,0.5,manual review needed,B_review,5,P0002,,Seoul National University; National University
A5103177724,,,Giho Kim,Seoul National University; National University,,,,,0.5,manual review needed,B_review,5,P0002,,Seoul National University; National University
A5086409096,yes,김성철,Seong cheol Kim,Yeungnam University,,,,,0.5,manual review needed,B_review,6,P0002,,Yeungnam University
A5010733573,,,Jae?륣yun Lee,Seoul National University; Sungkyunkwan University,,,,,0.5,manual review needed,B_review,5,P0001,,Seoul National University; Sungkyunkwan University
A5023738566,,,Byung Seok Kim,The Catholic University of Korea Incheon St. Mary's Hospital; Sungkyunkwan University; Catholic University of Korea,,,,,0.5,manual review needed,B_review,5,P0003,,The Catholic University of Korea Incheon St. Mary's Hospital; Sungkyunkwan University; Catholic University of Korea
A5012450211,,,Chang‐Yuil Kang,Cellid (South Korea),,,,,0.5,manual review needed,C_manual,22,P0003,,Cellid (South Korea)
A5038474427,,,Jae‐Seong Yang,Center for Research in Agricultural Genomics,,,,,0.5,manual review needed,C_manual,9,P0002,,Center for Research in Agricultural Genomics
A5100366805,,,Jin-Ho Kim,Yeungnam University; Sungkyunkwan University,,,,,0.5,manual review needed,C_manual,4,P0001,,Yeungnam University; Sungkyunkwan University
A5059045953,,,Yujin Baek,Seoul National University,,,,,0.5,manual review needed,C_manual,4,P0001,,Seoul National University
A5003478304,,,Won Jong Kim,Pohang University of Science and Technology; Pohang TechnoPark (South Korea),,,,,0.5,manual review needed,C_manual,4,P0001,,Pohang University of Science and Technology; Pohang TechnoPark (South Korea)
A5054580891,,,Suji Yun,Seoul National University,,,,,0.5,manual review needed,C_manual,4,P0001,,Seoul National University
A5043539796,,,Sungwoo Park,Seoul National University,,,,,0.5,manual review needed,C_manual,4,P0002,,Seoul National University
A5019410379,,,Beomhee Kim,Seoul National University,,,,,0.5,manual review needed,C_manual,4,P0002,,Seoul National University
A5101787257,,,Hyomin Lee,Government of the Republic of Korea; Jeju National University; Seoul National University; The Seoul Institute,,,,,0.5,manual review needed,C_manual,4,P0002,,Government of the Republic of Korea; Jeju National University; Seoul National University; The Seoul Institute
A5101520382,,,Sung Jae Kim,Seoul National University; Creative Research; Hanyang University Guri Hospital; Hanyang University,,,,,0.5,manual review needed,C_manual,4,P0002,,Seoul National University; Creative Research; Hanyang University Guri Hospital; Hanyang University
A5044722349,,,Chulhwan Park,Kwangwoon University; Yonsei University; Korea Photonics Technology Institute; Gangnam Severance Hospital,,,,,0.5,manual review needed,C_manual,4,P0002,,Kwangwoon University; Yonsei University; Korea Photonics Technology Institute; Gangnam Severance Hospital
A5073035689,,,Gi Yeon Kim,Seoul National University,,,,,0.5,manual review needed,C_manual,4,P0002,,Seoul National University
A5005418615,,,Chang-Yuil Kang,Namseoul University; Seoul National University; Nation University,,,,,0.5,manual review needed,C_manual,4,P0003,,Namseoul University; Seoul National University; Nation University
A5086762323,,,Jeongwon Choi,Namseoul University; Nation University; Seoul National University,,,,,0.5,manual review needed,C_manual,4,P0003,,Namseoul University; Nation University; Seoul National University
A5042344146,,,Young Ho Ban,University of Virginia,,,,,0.5,manual review needed,C_manual,2,P0001; P0003,,University of Virginia
A5034734404,,,Choong‐Hyun Koh,Immune Regulation (United Kingdom),,,,,0.5,manual review needed,C_manual,12,P0003,,Immune Regulation (United Kingdom)
A5100444966,,,Min Su Kim,Korea Photonics Technology Institute,,,,,0.5,manual review needed,C_manual,3,P0001,,Korea Photonics Technology Institute
A5015729955,,,Soon Ho Kweon,Pohang University of Science and Technology,,,,,0.5,manual review needed,C_manual,3,P0001,,Pohang University of Science and Technology
A5077447040,,,Je‐Min Choi,Yonsei University; Hanyang University; Anyang University,,,,,0.5,manual review needed,C_manual,3,P0001,,Yonsei University; Hanyang University; Anyang University
A5045269587,,,Minh‐Trang Thi Phan,Ho Chi Minh City University of Technology,,,,,0.5,manual review needed,C_manual,3,P0001,,Ho Chi Minh City University of Technology
A5000358020,,,Yeoul Kang,Pohang University of Science and Technology; Pusan National University,,,,,0.5,manual review needed,C_manual,3,P0001,,Pohang University of Science and Technology; Pusan National University
A5052397437,,,Yeong Mi Lee,Pohang University of Science and Technology,,,,,0.5,manual review needed,C_manual,3,P0001,,Pohang University of Science and Technology
A5051905445,,,Kwanghee Kim,Memorial Sloan Kettering Cancer Center; LG (United States); Kettering University; National NanoFab Center,,,,,0.5,manual review needed,C_manual,3,P0001,,Memorial Sloan Kettering Cancer Center; LG (United States); Kettering University; National NanoFab Center
A5054323976,,,Bohwa Han,Seoul National University; Dong-A University,,,,,0.5,manual review needed,C_manual,3,P0001,,Seoul National University; Dong-A University
A5069904422,,,Yeonju Song,Seoul National University; Korea Institute of Science and Technology,,,,,0.5,manual review needed,C_manual,3,P0001,,Seoul National University; Korea Institute of Science and Technology
A5062299292,,,Se‐Chan Oh,Korea Research Institute of Bioscience and Biotechnology,,,,,0.5,manual review needed,C_manual,3,P0001,,Korea Research Institute of Bioscience and Biotechnology
A5021758819,,,Suk Ran Yoon,Korea Research Institute of Bioscience and Biotechnology,,,,,0.5,manual review needed,C_manual,3,P0001,,Korea Research Institute of Bioscience and Biotechnology
A5022393389,,,Dong Hun Kwak,Pohang University of Science and Technology,,,,,0.5,manual review needed,C_manual,3,P0002,,Pohang University of Science and Technology
A5109944101,,,Ho Joon Kim,Seoul National University; New Generation University College; Korea Institute of Science and Technology,,,,,0.5,manual review needed,C_manual,3,P0002,,Seoul National University; New Generation University College; Korea Institute of Science and Technology
A5008606572,,,Keonwoo Kim,Seoul National University,,,,,0.5,manual review needed,C_manual,3,P0002,,Seoul National University
A5082510130,,,Se Yeon Kim,Pohang University of Science and Technology,,,,,0.5,manual review needed,C_manual,3,P0002,,Pohang University of Science and Technology
A5076271673,,,Youngil Koh,Seoul National University; Cancer Research Institute; Seoul National University Hospital,,,,,0.5,manual review needed,C_manual,3,P0002,,Seoul National University; Cancer Research Institute; Seoul National University Hospital
A5101837423,,,Taek Lee,Kwangwoon University,,,,,0.5,manual review needed,C_manual,3,P0002,,Kwangwoon University
A5041686861,,,Geunyung Park,Seoul National University,,,,,0.5,manual review needed,C_manual,3,P0002,,Seoul National University
A5053522476,,,Kwang-Soo Shin,Namseoul University; Seoul National University; Nation University,,,,,0.5,manual review needed,C_manual,3,P0003,,Namseoul University; Seoul National University; Nation University
A5035155539,,,Choong-Hyun Koh,Namseoul University; Seoul National University; Nation University,,,,,0.5,manual review needed,C_manual,3,P0003,,Namseoul University; Seoul National University; Nation University
A5041840523,,,Gi Won Shin,James S. McDonnell Foundation; Pohang University of Science and Technology; Stanford Medicine; Stanford University,,,,,0.5,manual review needed,C_manual,2,P0001; P0002,,James S. McDonnell Foundation; Pohang University of Science and Technology; Stanford Medicine; Stanford University
A5040199365,,,Mi‐Hwa Oh,National Institute of Animal Science; Rural Development Administration,,,,,0.5,manual review needed,C_manual,2,P0001; P0002,,National Institute of Animal Science; Rural Development Administration
A5053461530,,,Nam Ki Lee,Seoul National University,,,,,0.5,manual review needed,C_manual,2,P0001; P0002,,Seoul National University
A5041548362,,,Mungyo Jung,Seoul National University,,,,,0.5,manual review needed,C_manual,2,P0001,,Seoul National University
A5074758500,,,Seuk Young Song,Seoul National University,,,,,0.5,manual review needed,C_manual,2,P0001,,Seoul National University
A5073676165,,,Ju Hee Ryu,Harvard University; Korea University; Dana-Farber Cancer Institute; PRG S&Tech (South Korea); Korea Institute of Science and Technology,,,,,0.5,manual review needed,C_manual,2,P0001,,Harvard University; Korea University; Dana-Farber Cancer Institute; PRG S&Tech (South Korea); Korea Institute of Science and Technology
A5102317813,,,Heeseok Yoon,Hanyang University,,,,,0.5,manual review needed,C_manual,2,P0001,,Hanyang University
A5100336724,,,Do-Hyun Kim,Inha University; Yonsei University; Washington University in St. Louis; Hanyang University,,,,,0.5,manual review needed,C_manual,2,P0001,,Inha University; Yonsei University; Washington University in St. Louis; Hanyang University
A5007382558,,,Hongtae Kim,Ulsan National Institute of Science and Technology,,,,,0.5,manual review needed,C_manual,2,P0001,,Ulsan National Institute of Science and Technology
A5051337101,,,Sang‐Kyou Lee,Yonsei University,,,,,0.5,manual review needed,C_manual,2,P0001,,Yonsei University
A5073677422,,,Minah Suh,Suwon Research Institute; Institute for Basic Science; Korea Brain Research Institute; Sungkyunkwan University,,,,,0.5,manual review needed,C_manual,2,P0001,,Suwon Research Institute; Institute for Basic Science; Korea Brain Research Institute; Sungkyunkwan University
A5111215585,,,In-Ae Park,Albert Einstein College of Medicine; Montefiore Medical Center; Seoul National University; The Bronx Defenders; National University,,,,,0.5,manual review needed,C_manual,2,P0001,,Albert Einstein College of Medicine; Montefiore Medical Center; Seoul National University; The Bronx Defenders; National University
A5020717208,,,Aram J. Chung,Korea University; 490 BioTech (United States); STR Biotech (South Korea); Department of Public; Korea University,,,,,0.5,manual review needed,C_manual,2,P0001,,Korea University; 490 BioTech (United States); STR Biotech (South Korea); Department of Public; Korea University
A5049700978,,,Ha-Ram Park,Seoul National University; New Generation University College; National University College,,,,,0.5,manual review needed,C_manual,2,P0001,,Seoul National University; New Generation University College; National University College
A5100350588,,,Soyeon Kim,"Broad Institute; Ulsan College; University of Pittsburgh; Yonsei University; Asan Medical Center; Kyung Hee University; University of Ulsan; Children's Hospital of Pittsburgh; Stanford Medicine; Frontier Science & Technology Research Foundation, Inc.; Korea Disease Control and Prevention Agency; Stanford University",,,,,0.5,manual review needed,C_manual,2,P0001,,"Broad Institute; Ulsan College; University of Pittsburgh; Yonsei University; Asan Medical Center; Kyung Hee University; University of Ulsan; Children's Hospital of Pittsburgh; Stanford Medicine; Frontier Science & Technology Research Foundation, Inc.; Korea Disease Control and Prevention Agency; Stanford University"
A5111046380,,,Miso Kim,Seoul National University; Yonsei University; Seoul National University Hospital,,,,,0.5,manual review needed,C_manual,2,P0001,,Seoul National University; Yonsei University; Seoul National University Hospital
A5100719069,,,Tae Min Kim,Seoul National University; New Generation University College; Seoul National University Hospital,,,,,0.5,manual review needed,C_manual,2,P0001,,Seoul National University; New Generation University College; Seoul National University Hospital
A5100638261,,,Dong‐Wan Kim,Seoul National University; New Generation University College; Seoul National University Hospital,,,,,0.5,manual review needed,C_manual,2,P0001,,Seoul National University; New Generation University College; Seoul National University Hospital
A5024891671,,,Dae Seog Heo,Seoul National University; University of Szeged; Seoul National University Hospital; National Evidenc- based healthcare Collaborating Agency,,,,,0.5,manual review needed,C_manual,2,P0001,,Seoul National University; University of Szeged; Seoul National University Hospital; National Evidenc- based healthcare Collaborating Agency
A5014715024,,,Chun Gwon Park,Gyeonggi Research Institute; Advanced Institute of Convergence Technology; Korea Institute of Science and Technology; Sungkyunkwan University,,,,,0.5,manual review needed,C_manual,2,P0001,,Gyeonggi Research Institute; Advanced Institute of Convergence Technology; Korea Institute of Science and Technology; Sungkyunkwan University
A5061574889,,,Jaeho Oh,Pohang University of Science and Technology,,,,,0.5,manual review needed,C_manual,2,P0001,,Pohang University of Science and Technology
A5033453546,,,Jong‐Bong Lee,Pohang University of Science and Technology,,,,,0.5,manual review needed,C_manual,2,P0001,,Pohang University of Science and Technology
A5090627047,,,Keondo Lee,Pohang University of Science and Technology,,,,,0.5,manual review needed,C_manual,2,P0001,,Pohang University of Science and Technology
A5020648634,,,Wan Kyun Chung,Pohang University of Science and Technology; Hanyang University,,,,,0.5,manual review needed,C_manual,2,P0001,,Pohang University of Science and Technology; Hanyang University
A5088140886,,,Yungyeong Lee,Seoul National University,,,,,0.5,manual review needed,C_manual,2,P0001,,Seoul National University
A5037387745,,,Yonghwan Kwon,Seoul National University,,,,,0.5,manual review needed,C_manual,2,P0001,,Seoul National University
A5068411122,,,Changhoon Yu,Seoul National University; University of Michigan; National University; BioSurfaces (United States),,,,,0.5,manual review needed,C_manual,2,P0001,,Seoul National University; University of Michigan; National University; BioSurfaces (United States)
A5024933039,,,Min Sang Kwon,Korea Institute for Advanced Study; Seoul National University; Korea Research Institute of Standards and Science; National University; Korea University of Science and Technology,,,,,0.5,manual review needed,C_manual,2,P0001,,Korea Institute for Advanced Study; Seoul National University; Korea Research Institute of Standards and Science; National University; Korea University of Science and Technology
A5069444992,,,Sungjee Kim,Pohang University of Science and Technology; Bioscience Research,,,,,0.5,manual review needed,C_manual,2,P0001,,Pohang University of Science and Technology; Bioscience Research
A5008459970,,,Pil J. Yoo,SK Group (South Korea); Sungkyunkwan University,,,,,0.5,manual review needed,C_manual,2,P0001,,SK Group (South Korea); Sungkyunkwan University
A5049499414,,,Min‐Gon Kim,Gwangju Institute of Science and Technology; STR Biotech (South Korea),,,,,0.5,manual review needed,C_manual,2,P0001,,Gwangju Institute of Science and Technology; STR Biotech (South Korea)
A5055484623,,,Gurusamy Saravanakumar,Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology; Addis Ababa Science and Technology University; Sona College of Technology; Salem College,,,,,0.5,manual review needed,C_manual,2,P0001,,Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology; Addis Ababa Science and Technology University; Sona College of Technology; Salem College
A5100825336,,,Sanha Jeong,Pohang University of Science and Technology,,,,,0.5,manual review needed,C_manual,2,P0001,,Pohang University of Science and Technology
A5000166018,,,Mi Hyun Kang,Pusan National University,,,,,0.5,manual review needed,C_manual,2,P0001,,Pusan National University
A5010509853,,,Moon Il Kim,Gachon University,,,,,0.5,manual review needed,C_manual,2,P0001,,Gachon University
A5068736163,,,Ilwoong Hwang,Konkuk University; Konkuk University Chungju Hospital; Seoul National University; Soonchunhyang University Hospital Seoul,,,,,0.5,manual review needed,C_manual,2,P0001,,Konkuk University; Konkuk University Chungju Hospital; Seoul National University; Soonchunhyang University Hospital Seoul
A5112430169,,,Tae-Jin Kim,Korea University,,,,,0.5,manual review needed,C_manual,2,P0001,,Korea University
A5047503871,,,Soo Yun Lee,Korea Research Institute of Bioscience and Biotechnology,,,,,0.5,manual review needed,C_manual,2,P0001,,Korea Research Institute of Bioscience and Biotechnology
A5053048037,,,Haiyoung Jung,Korea Research Institute of Bioscience and Biotechnology; Korea University of Science and Technology,,,,,0.5,manual review needed,C_manual,2,P0001,,Korea Research Institute of Bioscience and Biotechnology; Korea University of Science and Technology
A5045141916,,,Byung Ik Park,Seoul National University,,,,,0.5,manual review needed,C_manual,2,P0001,,Seoul National University
A5037602360,,,Hong Nam Kim,Yonsei University; Korea Institute of Brain Science; Korean Association Of Science and Technology Studies; Bio-Medical Science (South Korea); Korea Institute of Science and Technology; Korea University of Science and Technology,,,,,0.5,manual review needed,C_manual,2,P0001,,Yonsei University; Korea Institute of Brain Science; Korean Association Of Science and Technology Studies; Bio-Medical Science (South Korea); Korea Institute of Science and Technology; Korea University of Science and Technology
A5023606306,,,Jieun Bang,Ewha Womans University; Ewha Womans University Medical Center,,,,,0.5,manual review needed,C_manual,2,P0001,,Ewha Womans University; Ewha Womans University Medical Center
A5036063261,,,Tae‐Young Heo,Chungbuk National University; University of Pennsylvania; Philadelphia University; Hongik University,,,,,0.5,manual review needed,C_manual,2,P0001,,Chungbuk National University; University of Pennsylvania; Philadelphia University; Hongik University
A5110602134,,,Duong Thi‐Thuy Pham,Chung-Ang University,,,,,0.5,manual review needed,C_manual,2,P0001,,Chung-Ang University
A5057958713,,,Jong Dae Jang,Korea Atomic Energy Research Institute; Jeonbuk National University,,,,,0.5,manual review needed,C_manual,2,P0001,,Korea Atomic Energy Research Institute; Jeonbuk National University
A5109265611,,,Young Soo Han,Korea Atomic Energy Research Institute,,,,,0.5,manual review needed,C_manual,2,P0001,,Korea Atomic Energy Research Institute
A5075090081,,,Tae Joo Shin,Ulsan National Institute of Science and Technology,,,,,0.5,manual review needed,C_manual,2,P0001,,Ulsan National Institute of Science and Technology
A5028179772,,,Soo‐Hyung Choi,Hongik University,,,,,0.5,manual review needed,C_manual,2,P0001,,Hongik University
A5100628910,,,Jaehong Park,Ewha Womans University; Hyundai Motor Group (South Korea); Korea Institute of Civil Engineering and Building Technology; Ewha Womans University Medical Center; Ulsan National Institute of Science and Technology; Hyundai Motors (South Korea); Sungkyunkwan University,,,,,0.5,manual review needed,C_manual,2,P0001,,Ewha Womans University; Hyundai Motor Group (South Korea); Korea Institute of Civil Engineering and Building Technology; Ewha Womans University Medical Center; Ulsan National Institute of Science and Technology; Hyundai Motors (South Korea); Sungkyunkwan University
A5108496008,,,Hyo Jin An,Kim Chaek University of Technology; Kyung Hee University; Hyundai Pharm (South Korea); Korea Institute of Science and Technology,,,,,0.5,manual review needed,C_manual,2,P0001,,Kim Chaek University of Technology; Kyung Hee University; Hyundai Pharm (South Korea); Korea Institute of Science and Technology
A5091837577,,,Byoung Chan Kim,Korea Institute of Science and Technology; Korea University of Science and Technology,,,,,0.5,manual review needed,C_manual,2,P0001,,Korea Institute of Science and Technology; Korea University of Science and Technology
A5056333341,,,Jungbae Kim,Seoul National University; Korea University,,,,,0.5,manual review needed,C_manual,2,P0001,,Seoul National University; Korea University
A5029400227,,,Inhae Kim,Pohang University of Science and Technology,,,,,0.5,manual review needed,C_manual,2,P0002,,Pohang University of Science and Technology
A5043581759,,,Hojung Nam,Gwangju Institute of Science and Technology,,,,,0.5,manual review needed,C_manual,2,P0002,,Gwangju Institute of Science and Technology
A5082993847,,,Han‐Saem Cho,Pohang University of Science and Technology,,,,,0.5,manual review needed,C_manual,2,P0002,,Pohang University of Science and Technology
A5089090600,,,Hee Chan Kim,Seoul National University Hospital,,,,,0.5,manual review needed,C_manual,2,P0002,,Seoul National University Hospital
A5061232003,,,Jong‐Hee Chae,Seoul National University; Seoul National University Hospital; Seoul National University Children's Hospital,,,,,0.5,manual review needed,C_manual,2,P0002,,Seoul National University; Seoul National University Hospital; Seoul National University Children's Hospital
